ï»¿Titre,Realisateur,Annee,Duree,Note TMDB,Themes,Synopsis,Lien YouTube,Lien TMDB
"Squid Game: Making Season 2","",2025,28 min,8.4,"Documentary","From set designs to character arcs, get exclusive cast and director interviews on how Season 2 of the globally most-watched series was brought to life.",,https://www.themoviedb.org/movie/1412113
"Once Upon a Studio","Dan Abraham",2023,9 min,8.3,"Comedy, Fantasy, Animation","Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",,https://www.themoviedb.org/movie/1139087
"Piper","Alan Barillaro",2016,6 min,8.2,"Animation","A mother bird tries to teach her little one how to find food by herself.",https://www.youtube.com/watch?v=WIPV1iwzrzg,https://www.themoviedb.org/movie/399106
"Far from the Tree","Natalie Nourigat",2021,7 min,8.1,"Animation","On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",,https://www.themoviedb.org/movie/831827
"Paperman","John Kahrs",2012,7 min,8,"Comedy, Romance, Fantasy","An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.",https://www.youtube.com/watch?v=XrqSF2OOz_M,https://www.themoviedb.org/movie/140420
"How to Train Your Dragon: Homecoming","Tim Johnson",2019,22 min,8,"Fantasy, Animation","It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend",https://www.youtube.com/watch?v=CehPixdKUuE,https://www.themoviedb.org/movie/638507
"In a Heartbeat","Beth David",2017,4 min,8,"Comedy, Romance, Animation","A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.",,https://www.themoviedb.org/movie/455661
"Kitbull","Rosana Sullivan",2019,9 min,8,"Animation, Drama","An unlikely connection sparks between two creatures: a fiercely independent stray kitten and a pit bull.",,https://www.themoviedb.org/movie/574074
"La Maison en Petits Cubes","Kunio Kato",2008,12 min,7.9,"Animation","La Maison en Petits Cubes tells the story of a grandfather's memories as he adds more blocks to his house to stem the flooding waters.",,https://www.themoviedb.org/movie/20722
"Partly Cloudy","Peter Sohn",2009,6 min,7.8,"Comedy, Fantasy, Animation","Everyone knows that the stork delivers babies, but where do the storks get the babies from?",https://www.youtube.com/watch?v=PfyJQEIsMt0,https://www.themoviedb.org/movie/24480
"Presto","Doug Sweetland",2008,5 min,7.8,"Comedy, Animation","Dignity.",,https://www.themoviedb.org/movie/13042
